"","FDR corrected Pvalue","ST Comparison Group Pvalue","SW Comparison Group Pvalue","TW Comparison Group Pvalue","ST Comparison Group Effect Size","SW Comparison Group Effect Size","TW Comparison Group Effect Size","ST Comparison Group Lower CI","ST Comparison Group Higher CI","SW Comparison Group Lower CI","SW Comparison Group Higher CI","TW Comparison Group Lower CI","TW Comparison Group Higher CI"
"Thal_R_L",0.00400531495093259,0.00274,0.00133,0.954,-1.74612667171435,-2.21669879512694,0.125884102007947,-0.147516129764819,-0.0300182137233989,-0.154594898573526,-0.0370969825321062,-0.0675309478835976,0.0533734102661831
"PRh_L",0.00415822643360212,0.000702,0.00956,0.544,1.42780484843305,1.97304623679323,0.550578577707664,0.00990373090889129,0.0368049587910584,0.0040251104527475,0.0309263383349147,-0.0197191880173074,0.00796194710501984
"Pr5_L",0.00419724159898861,0.00834,0.000793,0.609,-1.72632221936792,-1.39527579021843,0.692504097430972,-0.0158255944310754,-0.00219844680061344,-0.0185069858773017,-0.0048798382468397,-0.00969250106068323,0.00432971816823072
"GP_L",0.00419724159898861,0.00125,0.00406,0.883,-1.62743305932473,-1.94508707362421,-0.226981912557771,-0.029530148986574,-0.00716344075666132,-0.0273452891361852,-0.00497858090627252,-0.00932271659678718,0.0136924362975648
"ZI_R",0.00515466835157166,0.00209,0.00349,0.976,-1.60142508667937,-1.78028822030276,-0.108720977981073,-0.0296583616075372,-0.00645363284254387,-0.0286609851260722,-0.00545625636107885,-0.0109413579739711,0.0129361109369011
"Hyp_L",0.00515466835157166,0.00346,0.00211,0.978,-1.61859267932234,-1.47468125900714,0.153202315577595,-0.188843988407921,-0.0360611758423217,-0.195131861549724,-0.0423490489841254,-0.0848939817090837,0.0723182354254764
"SC_R",0.00534202866142816,0.000997,0.0134,0.542,-1.27235039130217,-1.79478612049532,-0.701531142522671,-0.17153556941473,-0.0434487022116606,-0.1434795023417,-0.0153926351386305,-0.0378440824289586,0.0939562165750188
"Sthal_R",0.00557218893338621,0.00154,0.00711,0.807,-1.33699532856796,-1.90076641910424,-0.367579261558817,-0.0123351337188303,-0.00287123976947221,-0.0111202104049278,-0.0016563164555697,-0.00365420995285848,0.00608405658066349
"ic_R",0.00557218893338621,0.00277,0.00336,0.996,-1.59250936743791,-1.60292625850368,-0.0474725228155991,-0.0430289115471967,-0.00873305843732798,-0.0424679571544079,-0.00817210404453923,-0.0170841164610046,0.0182060252465821
"V1B_L",0.00584255280510451,0.00393,0.00275,0.988,1.78275670564328,1.49965871251278,-0.0793625419197203,0.00663368776922251,0.0360936547500164,0.00752033764233378,0.0369803046231276,-0.0142703780935423,0.0160436778397648
"MRN_R",0.00584255280510451,0.0124,0.00127,0.623,-1.66289360644587,-1.40108294897317,0.573978517678086,-0.0567696284460721,-0.00639618607057236,-0.0664433728499359,-0.0160699304744361,-0.0355906666923315,0.016243177884604
"PaS_R",0.00584255280510451,0.000816,0.288,0.0357,0.659403510034084,2.30238284669091,1.20959922367387,0.00534417923621545,0.0203662319212706,-0.00287849271631953,0.0121435599687357,-0.0159514542968046,-0.000493889608265404
"FasMed_R",0.00615268137254278,0.00248,0.0052,0.95,-1.41033799878057,-1.75509003877251,-0.180936405002514,-0.0185835043906622,-0.00387964080385472,-0.0176682509657034,-0.00296438737889594,-0.00664982197883904,0.00848032882875661
"IC_R",0.00674509486584518,0.019,0.00134,0.525,-1.81841917225259,-1.20568036261364,0.662962824084876,-0.0980544674096694,-0.00805880338702471,-0.118308637870904,-0.0283129738482596,-0.0665565576077673,0.0260482166852975
"Ins_R",0.00690003039262505,0.00875,0.00212,0.83,1.61600275485718,1.46714272286514,-0.339836803133613,0.0122422916222845,0.0901291544092569,0.0215606778903683,0.0994475406773407,-0.0307540740393797,0.0493908465755473
"KF_R",0.00693398727989171,0.00166,0.0142,0.653,-1.5709283074411,-1.73087315153777,-0.411644132145702,-0.0171609825611279,-0.0039327238141357,-0.0147545055477817,-0.00152624680078945,-0.00439940596367831,0.0092123599903708
"V2ML_R",0.00732706367223911,0.002,0.0118,0.746,1.44545635178888,1.67647179819113,0.388829141786225,0.00554208269432387,0.0252320876893661,0.00257988496382261,0.0222698899588649,-0.0130926217247973,0.00716822626379479
"V2MM_L",0.00807781445532062,0.00132,0.37,0.0377,0.672482067173327,1.60567649590522,1.49378010988904,0.0144665640713256,0.0602198285312022,-0.0103341469615469,0.0354191174983296,-0.0483405713944321,-0.00126085067131297
"5N_R",0.00867624393379236,0.00145,0.0543,0.29,-1.12048739900675,-1.74185695632571,-0.819028810724321,-0.00706949429687804,-0.00166663348419391,-0.00535973009206053,4.31307206235909e-05,-0.00106998475047419,0.0044895131601092
"DLEnt_R",0.00903980993141481,0.00688,0.00449,0.983,1.55948432592896,1.42528580553565,-0.104565914039213,0.00772181872548721,0.0511496858572487,0.00929213751031215,0.0527200046420736,-0.0207731345217369,0.0239137720913868
"sc_R",0.00903980993141481,0.0523,0.00159,0.315,2.05171584737548,1.28534064142733,-0.592994737070201,-0.000143263767906698,0.0323467951433075,0.00977587216855955,0.0422659310797738,-0.00679686146694375,0.0266351333398762
"MRN_L",0.00903980993141481,0.0957,0.00144,0.185,-1.65958396455042,-1.07058752358273,0.948321995754269,-0.0410332222078788,0.00283449655188454,-0.0574144997969875,-0.0135467810372241,-0.0389510326912954,0.00618847751307803
"BNst_L",0.00975330208038851,0.00853,0.0046,0.964,-1.55400470279019,-1.57119005285896,0.126209676175441,-0.00957927990847872,-0.00131677944567128,-0.0100134295353775,-0.00175092907257002,-0.00468517104423115,0.00381687179043366
"Raph_R",0.0114208608676086,0.00971,0.00551,0.97,-1.4653110434583,-1.41827221584237,0.139604736438624,-0.00923840797067294,-0.00119268341547844,-0.00962821617856169,-0.00158249162336719,-0.00452929934087534,0.00374968292509784
"RTN_L",0.0141346676644531,0.0629,0.00282,0.387,-1.82236931765202,-1.03010189304459,0.660958915648475,-0.0350941229777413,0.00079956392456703,-0.0449760772317925,-0.00908239032948416,-0.0283491038119334,0.00858519530383103
"CSF_R",0.0157642002580742,0.00323,0.0668,0.4,-1.02577235609459,-1.73743317333641,-0.664547152743285,-0.00953990227717799,-0.00185670413077451,-0.00746577780003049,0.000217420346372994,-0.00187884835728573,0.00602709731158073
"n8_R",0.0162447074128346,0.00618,0.0189,0.884,-1.2944900543227,-1.41603181156313,-0.290997644488778,-0.008527535789253,-0.001343332250002,-0.00782809784717924,-0.00064389430792825,-0.0029968042849983,0.0043956801691458
"CPu_R",0.0162447074128346,0.00708,0.016,0.937,-1.19686224008951,-1.40509075687717,-0.277035007706427,-0.211479284534009,-0.0315505127916657,-0.1987709866866,-0.0188422149442568,-0.0798642914933151,0.105280887188133
"PAG_R",0.0187519867595247,0.0335,0.00554,0.723,-1.74042627299467,-1.15831501176426,0.368866074929693,-0.102737710954279,-0.00373518945393017,-0.118428606805875,-0.0194260853055264,-0.0666272729401483,0.0352454812369558
"Ect_R",0.0187519867595247,0.00413,0.54,0.0537,0.509921321645026,1.65130741754785,1.14964997476451,0.00715528228584024,0.0395281903049409,-0.00927266961696978,0.0231002384021308,-0.033083675669483,0.000227771863862986
"Au1_L",0.0191114698011108,0.0416,0.00526,0.649,1.78580692319163,1.09373513511269,-0.429428856809366,0.000332850127773749,0.019434934753911,0.00383426866223751,0.0229363532883747,-0.00632652292550126,0.0133293599944288
"Den_R",0.0212442399713396,0.00578,0.0472,0.638,-1.0124426938121,-1.50876017289938,-0.612989503568106,-0.00737642184289407,-0.0011919296134787,-0.00621920122555783,-3.47089961424555e-05,-0.00202467438417249,0.00433911561884498
"PLCo_R",0.0221329156236,0.0717,0.00529,0.495,1.51619336539281,1.07721156446132,-0.590427169413596,-0.001577510897889,0.0431555514707679,0.00895106149552476,0.0536841238641817,-0.012486398322535,0.0335435431093626
"cc_R",0.0221329156236,0.00439,0.189,0.215,-1.03438679034445,-1.63122410416245,-0.709094558728653,-0.18939067331453,-0.0336308047140283,-0.134087598590668,0.0216722700098344,-0.0248347165370448,0.13544086598477
"S1_R",0.0221794736402607,0.00575,0.0601,0.566,1.14179882100602,1.56274418405537,0.490219971783573,0.00331881519866428,0.0205074766104771,-0.000307560559668215,0.0168811008521446,-0.0124698690961911,0.00521711757952611
"S1Tr_L",0.0242798675072654,0.00623,0.0677,0.552,1.48605752182843,1.43041193407965,0.446797189328021,0.0025504810914826,0.0162433515284907,-0.00040500030806116,0.013287870128947,-0.0100004051190035,0.00408944231991599
