Structure,Abbreviation
Superior Cerebellar Peduncle (L),scp_L
Inferior Cerebellar Peduncle (L),icp_oc_tz_L
Cerebellar White Matter (L),cbw_L
Lateral Ventricle (L),LV_L
Cingulate Cortex Area 25 (L),A25_L
Dorsal Acustic Stria (L),das_L
Postsubiculum (L),Post_L
Ventricular System 4thVentricle (L),4V_L
Microcellular Tegmental Nucleus (L),MiTg_L
Pretectal Nucleus (L),PT_L
Latero Dorsal Thalamic Nucleus Ventro Lateral (L),LDVL_L
Latero Posterior Nuclei of Thalamus (L),LP_L
Anterior Thalamic Nuclei (L),Athal_L
Red Nucleus Magnocellular (L),RMC_L
Pararubral Nucleus (L),PaR_L
Retro Rubral Field (L),RR_L
Cerebrospinal fluid (L),CSF_L
IntermediateReticularNucleus (L),IRN_L
PosteriorDorsal ParaventricularMedialParvicellular Posterior LateralHypothalamus (L),PHD_PaMP_Post_and_LatHy_L
Prerubral Forel (L),PR_p3Tg_L_L
PVG of Hypothalamus (L),PVG_L
Basal Lateral Amygdala (L),BLA_L
Cingulate Cortex Area 24a (R),A24a_R
Cingulate Cortex Area 24a prime (R),A24aPrime_R
Cingulate Cortex Area 24b (R),A24b_R
Cingulate Cortex Area 24b prime (R),A24bPrime_R
Cingulate Cortex Area 29a (R),A29a_R
Cingulate Cortex Area 29b (R),A29b_R
Cingulate Cortex Area 29c (R),A29c_R
Cingulate Cortex Area 30 (R),A30_R
Cingulate Cortex Area 32 (R),A32_R
Primary Auditory Cortex (R),Au1_R
Secondary Auditory Cortex Dorsal Part (R),AuD_R
Secondary Auditory Cortex Ventral Part (R),AuV_R
Dorsolateral Orbital Cortex (R),DLO_R
Frontal Cortex Area 3 (R),Fr3_R
Frontal Association Cortex (R),FrA_R
Insular Cortex (R),Ins_R
Lateral Orbital Cortex (R),LO_R
Lateral Parietal Association Cortex (R),LPtA_R
Primary Motor Cortex (R),M1_R
Secondary Motor Cortex (R),M2_R
Medial Orbital Cortex (R),MO_R
Medial Parietal Association Cortex (R),MPtA_R
Parietal Cortex Posterior Area Rostral Part (R),PtPR_R
Primary Somatosensory Cortex (R),S1_R
Primary Somatosensory Cortex Barrel Field (R),S1BF_R
Primary Somatosensory Cortex Dysgranular Zone (R),S1DZ_R
Primary Somatosensory CortexForelimb Region (R),S1FL_R
Primary Somatosensory Cortex Hindlimb Region (R),S1HL_R
Primary Somatosensory Cortex Jaw Region (R),S1J_R
Primary Somatosensory Cortex Shoulder Region (R),S1Sh_R
Primary Somatosensory Cortex Trunk Region (R),S1Tr_R
Primary Somatosensory Cortex Upper Lip Region (R),S1ULp_R
Secondary Somatosensory Cortex (R),S2_R
Temporal Association Cortex (R),TeA_R
Primary Visual Cortex (R),V1_R
Primary Visual Cortex Binocular Area (R),V1B_R
Primary Visual Cortex Monocular Area (R),V1M_R
Secondary Visual CortexLateral Area (R),V2L_R
Secondary Visual Cortex Mediolateral Area (R),V2ML_R
Secondary Visual Cortex Mediomedial Area (R),V2MM_R
Ventral Orbital Cortex (R),VO_R
Caudomedial Entorhinal Cortex (R),CEnt_R
Dorsal Intermediate Entorhinal Cortex (R),DIEnt_R
Dorsolateral Entorhinal Cortex (R),DLEnt_R
Medial Entorhinal Cortex (R),MEnt_R
Ventral Intermediate Entorhinal Cortex (R),VIEnt_R
Claustrum (R),Cl_R
Dorsal Claustrum (R),DCl_R
Posterolateral Cortical Amygdaloid Area (R),PLCo_R
Ventral Claustrum (R),VCl_R
Hippocampus (R),Hc_R
Dorsal Tenia Tecta (R),DTT_R
Ectorhinal Cortex (R),Ect_R
Parasubiculum (R),PaS_R
Perirhinal Cortex (R),PRh_R
Presubiculum (R),PrS_R
Piriform Cortex (R),Pir_R
Amygdalopiriform Transition Area (R),APir_R
Hypothalamus (R),Hyp_R
Preoptic Telencephalon (R),Pre_Tel_R
Subthalamic Nucleus (R),Sthal_R
Septum (R),SPT_R
Globus Pallidus (R),GP_R
Striatum (R),CPu_R
Amygdala (R),Amy_R
Accumbens (R),Acb_R
Bed Nucleus of the Stria Terminalis (R),BNst_R
Ventral Pallidum (R),Vpal_R
Periaquaductal Grey (R),PAG_R
Anterior Pretectal Nucleus (R),APT_R
Ventral Tegmental Area (R),VTA_R
Thalamus Rest (R),Thal_R_R
Ventral Thalamic Nuclei (R),VT_R
Latero Dorsal Nucleus of Thalamus (R),LDNT_R
Medial Geniculate Nucleus (R),MGN_R
Lateral Geniculate Nucleus (R),LGN_R
Zona Incerta (R),ZI_R
Reticular Nucleus of Thalamus (R),RTN_R
Subbrachial Nucleus and Peripeduncular Nucleus (R),Sub_PP_R
Deep Mesencephalic Nuclei (R),DpMe_R
Superior Colliculus (R),SC_R
